Order ID,Date,Customer ID,Customer Name,Sales Person,Region,Item,Price,Quantity,Revenue,Quarter
0001,1/1/2018,11,Company K,Michael Fox,New Mexico,Item 2,199,3,597,Q1 2018
0002,1/2/2018,1,Company A,Anna Weber,Texas,Item 5,289,7,2023,Q1 2018
0003,1/3/2018,9,Company I,Kim Fishman,California,Item 4,159,3,477,Q1 2018
0004,1/3/2018,18,Company R,Oscar Knox,Arizona,Item 5,289,3,867,Q1 2018
0005,1/4/2018,16,Company P,Oscar Knox,Arizona,Item 3,69,4,276,Q1 2018
0006,1/4/2018,13,Company M,Michael Fox,New Mexico,Item 2,199,2,398,Q1 2018
0007,1/4/2018,17,Company Q,Andrew James,Arizona,Item 5,289,9,2601,Q1 2018
0008,1/5/2018,14,Company N,Michael Fox,New Mexico,Item 2,199,5,995,Q1 2018
0009,1/5/2018,20,Company T,Andrew James,Arizona,Item 1,399,5,1995,Q1 2018
0010,1/5/2018,3,Company C,Anna Weber,Texas,Item 2,199,0,0,Q1 2018
0011,1/5/2018,8,Company H,Laura Larsen,California,Item 5,289,9,2601,Q1 2018
0012,1/5/2018,6,Company F,Laura Larsen,California,Item 1,399,6,2394,Q1 2018
0013,1/5/2018,9,Company I,Kim Fishman,California,Item 2,199,6,1194,Q1 2018
0014,1/5/2018,4,Company D,Anna Weber,Texas,Item 1,399,4,1596,Q1 2018
0015,1/5/2018,6,Company F,Kim Fishman,California,Item 2,199,2,398,Q1 2018
0016,1/6/2018,13,Company M,Michael Fox,New Mexico,Item 3,69,0,0,Q1 2018
0017,1/7/2018,14,Company N,Michael Fox,New Mexico,Item 5,289,0,0,Q1 2018
0018,1/7/2018,19,Company S,Oscar Knox,Arizona,Item 4,159,5,795,Q1 2018
0019,1/7/2018,10,Company J,Laura Larsen,California,Item 3,69,2,138,Q1 2018
0020,1/7/2018,5,Company E,Anna Weber,Texas,Item 1,399,3,1197,Q1 2018
0021,1/7/2018,10,Company J,Laura Larsen,California,Item 3,69,2,138,Q1 2018
